My Projects,Mes projets
Level and options,Niveau et options
Price,Prix
Choose your textmaster for the project,Choisissez votre TextMaster pour le projet
Action,Action
Wrong login / password,Mauvais identifiant / mot de passe
Could not get API key / secret,Impossible de récupérer votre clé API
Connected to textmaster,Connecter à TextMaster
Email invalid,Email invalide
Password mandatory,Mot de passe obligatoire
Could not get access token,Impossible de récupérer le token d'accès
Your account has been successfully created.,Votre compte a été créé avec succès.
"Select the list of products to translate or proofread. Use the filter in the last column to select the product descriptions that haven't been translated yet. If the product description has already been translated on TextMaster, a flag will appear beside each completed translation.","Sélectionnez la liste des produits à traduire ou a corriger. Utiliser le filtre dans la dernière colonne pour sélectionner les fiches produits qui n'ont pas encore été traduites. Si la fiche produit a déjà été traduite sur Textmaster, un drapeau apparaît pour chaque traduction effectuée."
"Fill out the project details and choose the service level and extra options. Give translator or proofreader special instructions (specific terms, layout guidelines, etc.)","Définissez les propriétés de votre projet ainsi que le niveau de qualité souhaité et les options à la carte. Enfin, précisez vos instructions au traducteur ou au correcteur (termes spécifiques, instructions de mise en forme, etc.)."
"Verify your project setting before placing your order. If you do not have enough credits on TextMaster, click on the link below to add credits to your account on TextMaster.com","Vérifiez les informations de votre projet avant de lancer votre commande. Si votre solde de crédit TextMaster est insuffisant, ciiquez sur le lien ci-deesous pour créditer votre compte sur TextMaster.com"
Project creation error,Erreur lors de la création du projet
No post,Pas de post
Regular,Regular
Premium,Premium
Not specified,Non spécifié
Popular,Populaire
Technique,Technique
Fictional,Fictional
I,Je
You,Vous
He,Il
She,Elle
One,Un
We,Nous
They,Ils
Children under 14 years old,Enfants en dessous de 14 ans
Teenagers > between 14 and 18 years old,Adolescents entre 14 et 18 ans
Young adults > between 19 and 29 years old,Jeunes adultes de 19 à 29 ans
Adults > between 30 and 59 years old,Adultes en 30 et 59 ans
Seniors > 60 years old and beyond,Seniors au dessus de 60 ans
completed,Terminé
In creation,En création
Waiting assignment,En attente d'attribution
In progress,In progress
In review,Revue en cours
Completed,Terminé
Incomplete,Incomplet
Paused,En pause
Cancelled,Annulé
Copyscape,Copyscape
Counting words,Counting words
Quality control,Contrôle qualité
Control Quality,Contrôle qualité
Expertise,Expertise
Priority,Prioritaire
launch,Lancer
paused,En pause
resumed,Reprendre
canceled,Annulé
soit,soit
word,mot
You need to be logged in to use this plugin.,Vous devez être connecté pour utiliser le module.
Click here to log in or to create a TextMaster account.,Cliquer ici pour vous identifier ou créer un compte TextMaster
Project Information,Informations sur le projet
Type of project:,Type de projet :
Source language:,Langue source :
Word count:,Nombre de mots :
Level,Niveau
Level:,Niveau :
Single author:,Auteur unique :
Single author,Auteur unique
Briefing :,Briefing :
Status:,Statut :
Target language,Langue de destination
Target language:,Langue de destination :
Price:,Prix :
Reference:,Référence :
Nombre de textmasters :,Nombre de textmasters :
Options:,Options :
Quality control,Contrôle qualité
Priority order,Commande prioritaire
Expertise,Expertise
Documents,Documents
Support messages,Support messages
Written by %s ,Ecrit par %s le
Text intro document view,"Vous pouvez consulter la fiche traitée par l'auteur ci-dessous. Si le contenu vous convient, cliquez sur Mettre à jour la fiche. Sinon vous pouvez demander une révision à l'auteur en précisant les élements à modifier ou adapter."""
File information,Informations sur la fiche
Elements,Eléments
Text source,Texte source
Translated text,Texte traduit
Message to author for revision,Message pour l'auteur en vue d'une revision
Translations,Translations
You are viewing default/website values. Please select a store view (from left) to see translation options.,Veuillez sélectionner la langue dans la liste “store view” sur la gauche pour démarrer la traduction de votre produit.
Translate product,Traduire le produit
TextMaster Login,Login TextMaster
Create your account,Créer votre compte
The list below shows all of your TextMaster translation and proofreading projects.,La liste ci-dessous rassemble tous vos projets de traduction ou de correction lancés sur TextMaster.
"To see a project's details, click on ''View'' in the last column. To start a translation project or to proofread your product descriptions, click on the ''New Project'' button.","Pour entrer dans le détail d'un de vos projets, cliquez sur ''Voir'' dans la dernière colonne du tableau. Pour commencer à traduire ou faire corriger vos fiches produits, cliquer sur le bouton ''Nouveau projet''. "
Crédit disponible :,Crédits disponibles :
Crédit manquant :,Crédits manquants :
Credits:,Crédits :
Textmaster account,Compte TextMaster :
word(s),mot(s)
translation,traduction
proofreading,rédaction
Translation,Traduction
Translate,Traduction
Proofreading,Rédaction
Select products,Sélectioner les produits
Propriétés du projet,Propriétés du projet
Send,Envoyer
you,vous
Textmasters saved,TextMasters sauvegardés
You do not have any authors in your Favorites list,Vous n'avez pas d'auteurs favoris.
Project does not exist,Le projet n'existe pas
"Your product description is being approved, this will take a few moments. You can use Magento in the meantime and then come back to your project to finish it.","Cette fiche est en cours de validation, cela prendra quelques instants. Vous pouvez continuer votre navigation dans Magento et revenir ensuite finaliser votre projet."
Buy credits,Acheter des crédits
Manage Projects,Gérer les projets
Activities,Type de projet
Product Default Language,Langages par défaut des produits
Briefing message for proofreading,Briefing par défaut pour la rédaction
Briefing message for translation,Briefing par défaut pour la traduction
Category,Catégorie
Type of vocabulary,Type de vocabulaire
Target audience,Audience ciblé
Grammatical Person,Personne grammaticale
Default values,Valeurs par défaut
Email,Email
Password,Mot de passe
Confirm password,Confirmer votre mot de passe
Phone,Téléphone
Create your free account,Créez votre compte gratuitement
Connexion,Connexion
Login,Identifiant
Searching...,Searching...
Logout,Déconnexion
"message_loader_tm","La mémoire de traduction est en cours, cela prendre quelques minutes s'il contient beaucoup de fiches produits. Vous pouvez continuer votre navigation dans Magento et revenir ensuite finaliser votre projet."
"Translation memory (+%s/word)","Mémoire de traduction (+%s / mot)"
"Translation memory","Mémoire de traduction"
"Total word count saved", "Nombre total de mots économisés"
"Nb words that you saved:", "Nombre de mots économisés :"
